标题,场次名称,城市,时间,状态,最低价格,分类,演出ID
【重庆】张蔷「新歌好多啊」重庆站,【重庆】张蔷「新歌好多啊」重庆站,重庆市,2026.03.14 20:00,DELAY,¥258起,Livehouse,699ed31976dad00001c07cd7
【杭州】朱主爱“三分之一”巡回音乐会-杭州站,【杭州】朱主爱“三分之一”巡回音乐会-杭州站,杭州市,2026.04.25 19:30,ONSALE,¥268起,Livehouse,69cbb0384e96c50001b7347d
"【郑州】粥粥和小伙2026""放轻松""巡演-郑州站","【郑州】粥粥和小伙2026""放轻松""巡演-郑州站",郑州市,2026.05.30 19:50,ONSALE,¥99起,Livehouse,699eb3d411403d0001f06dd7
【广州】africakid&alyway&贾真&Akemen特别专场-出来玩ER广州站,【广州】africakid&alyway&贾真&Akemen特别专场-出来玩ER广州站,广州市,2026.05.01 20:00,ONSALE,¥128起,Livehouse,69ca5f99db0ec900019caece
【广州】Afaer-展麟Finn「第四缕晨光」线下演唱会,【广州】Afaer-展麟Finn「第四缕晨光」线下演唱会,广州市,2026.04.25 18:00,ONSALE,¥299起,Livehouse,69c117021e5b270001a43f6f
【北京】爽子新专辑《上岸II》巡演-北京站,【北京】爽子新专辑《上岸II》巡演-北京站,北京市,2026.06.12 - 06.13,ONSALE,¥108起,Livehouse,69ae70e21ebee70001aadf3a
【北京】V.O.B“阿彬羊排饭”2026巡演Feat.黑麦BlackMic&大宝西 北京站,【北京】V.O.B“阿彬羊排饭”2026巡演Feat.黑麦BlackMic&大宝西 北京站,北京市,2026.04.24 20:00,ONSALE,¥128起,Livehouse,69c116fb1e5b270001a43904
【深圳】Uu的气象站台 · 轻雾 2026巡演深圳站,【深圳】Uu的气象站台 · 轻雾 2026巡演深圳站,深圳市,2026.04.25 19:30,ONSALE,¥159起,Livehouse,699eaccfc8176d0001c41df4
【长沙】陈鸿宇2026「十步一啄」巡演 长沙站,【长沙】陈鸿宇2026「十步一啄」巡演 长沙站,长沙市,2026.05.15 20:00,ONSALE,¥177起,Livehouse,69aa98761bd5ff0001cb177b
【郑州】悲伤玩具2026巡演「谁要来打扰我的乌托邦」郑州站,【郑州】悲伤玩具2026巡演「谁要来打扰我的乌托邦」郑州站,郑州市,2026.05.17 20:00,ONSALE,¥100起,Livehouse,69cd17bfedcc230001516be4
爱·永恒—理查德·克莱德曼2026钢琴音乐会,【绍兴】爱·永恒—理查德·克莱德曼2026钢琴音乐会绍兴站,绍兴站,07.03,热销中,,音乐会,69ba82f00ae9bb0001ec0286
爱·永恒—理查德·克莱德曼2026钢琴音乐会,【合肥】爱·永恒—理查德·克莱德曼2026钢琴音乐会合肥站,合肥站,07.04,热销中,,音乐会,698c3702445d5300015f7cc5
爱·永恒—理查德·克莱德曼2026钢琴音乐会,【天津】爱·永恒——理查德·克莱德曼2026钢琴音乐会-天津站,天津站,07.05,热销中,,音乐会,698d7a72cebc460001c23a1d
爱·永恒—理查德·克莱德曼2026钢琴音乐会,【广州】《爱•永恒》理查德•克莱德曼钢琴音乐会广州站,广州站,07.09,热销中,,音乐会,69aa56dbe073480001955542
爱·永恒—理查德·克莱德曼2026钢琴音乐会,【常州】《爱·永恒》理查德·克莱德曼钢琴音乐会—常州站,常州站,07.16,热销中,,音乐会,69a914daab83640001574cea
爱·永恒—理查德·克莱德曼2026钢琴音乐会,【上海】《爱·永恒》理查德·克莱德曼钢琴音乐会,上海站,07.17,热销中,,音乐会,69b135892e03af00010750dd
爱·永恒—理查德·克莱德曼2026钢琴音乐会, 【汕头】《爱·永恒》理查德·克莱德曼钢琴音乐会—汕头站,汕头站,07.19,热销中,,音乐会,69b2568a9cdb090001e20fe9
爱·永恒—理查德·克莱德曼2026钢琴音乐会,【北京】爱·永恒—理查德·克莱德曼2026钢琴音乐会北京站,北京站,07.24,热销中,,音乐会,69c25cc4ab8b860001668e57
爱·永恒—理查德·克莱德曼2026钢琴音乐会,【苏州】爱·永恒-理查德·克莱德曼2026钢琴音乐会苏州站,苏州站,07.25,热销中,,音乐会,69bcac0f753af300010709e5
爱·永恒—理查德·克莱德曼2026钢琴音乐会,【成都】【中外名家名团】爱·永恒—理查德·克莱德曼2026钢琴音乐会成都站,成都站,07.26,热销中,,音乐会,69bb793090c7020001acf7dd
爱·永恒—理查德·克莱德曼2026钢琴音乐会,【沈阳】《爱·永恒》理查德·克莱德曼钢琴音乐会,沈阳站,07.31,热销中,,音乐会,69a6b34efd5d6e00013eccbb
爱·永恒—理查德·克莱德曼2026钢琴音乐会,【长春】《爱·永恒》理查德·克莱德曼钢琴音乐会,长春站,08.01,热销中,,音乐会,69a69dc1fd5d6e00013e8c3f
爱·永恒—理查德·克莱德曼2026钢琴音乐会,【哈尔滨】 哈尔滨站《爱·永恒》理查德·克莱德曼钢琴音乐会,哈尔滨站,08.02,热销中,,音乐会,69a6afe05f47430001212ff7
【哈尔滨】2026罗大佑春龙交响夜音乐会-哈尔滨站,【哈尔滨】2026罗大佑春龙交响夜音乐会-哈尔滨站,哈尔滨市,2026.08.22 - 08.23,PRESALE,¥480起,音乐会,69ae52bbee69bd000100df1d
【广州】2026罗大佑春龙交响夜音乐会-广州站,【广州】2026罗大佑春龙交响夜音乐会-广州站,广州市,2026.09.24 - 09.25,PENDING,¥480起,音乐会,69ca5cb0c79a0f0001324789
