项目编号,项目名称,首席申请机构,批准资金
GHP/117/21GD,"面向燃料电池高纯氢的“反应性”吸附剂和高效组合床分离纯化过程研究","香港中文大学",HK$ 1,576,072.7
GHP/191/21SZ,"基於预嵌入正极和改性锌负极的高安全水系锌基储能电池","香港城市大学",HK$ 1,097,100
GHP/100/22GD,"含氨低碳混合燃料高效清洁燃烧关键技术及装备研发","香港理工大学",HK$ 469,200
GHP/102/22SZ,"高性能贵金属复合催化剂製备及其氢燃料电池的应用","香港城市大学",HK$ 2,691,000
GHP/117/22SZ,"基於粘结剂原纤化干法制膜技术的全固态鋰金属电池的构筑及性能调控研究","香港理工大学",HK$ 1,205,200
GHP/121/22SZ,"开发可商业化的高效稳定钙鈦矿-有机叠层太阳能电池","香港城市大学",HK$ 1,764,100
GHP/127/22SZ,"高性能弹卡固态製冷材料及千瓦级空调样机研发","香港科技大学",HK$ 2,034,462.7
GHP/247/22GD,"基於水性粘结剂的高电压鈷酸鋰电极","香港城市大学",HK$ 782,000
GHP/335/22SZ,"高电压钠离子电池的设计、机理及性能研究","香港城市大学",HK$ 1,399,895
GHP/380/22GD,"钙鈦矿/HJT叠层太阳电池关键技术研究","香港理工大学",HK$ 2,642,700
GHP/394/22GD,"高效III-V族化合物/钙鈦矿多结叠层太阳电池研发","香港城市大学",HK$ 1,589,300
GHP/015/23GD,"聚光太阳能製取绿色氢气和耦合氢化製备高值化学品","香港城市大学",HK$ 855,600
GHP/133/23GD,"面向宽功率负载快速响应电解槽技术应用的新型自支撑纳米阵列电极製备工艺研究","香港城市大学",HK$ 966,000
GHP/290/23SZ,"高安全高比能固态鋰金属电池的研製","香港城市大学",HK$ 1,899,800
GHP/305/23GD,"高效稳定的全聚合物太阳能电池的开发与製备","香港科技大学",HK$ 2,796,800
GHX/004/11,"新一代用於光伏发电系统的智能功率逆变器","香港城市大学",HK$ 1,125,605
GHX/003/13SZ,"新型超低阻大容量超级电容及分佈式发电功率平衡系统的研发","香港理工大学",HK$ 990,000
GHX/142/21GD,"鋰离子电池鋰盐中间体：双（氟磺酰）亚胺钾的工艺研究","香港中文大学",HK$ 100,000
GSP/001/13,"青年企业家发展局 (E挑战杯 - 创业计划挑战赛) 2013","青年企业家发展局",HK$ 686,000
GSP/006/13,"促进转移海外科研成果的软着陆计划","香港科技园公司",HK$ 3,525,600
GSP/010/13,"亚洲商业天使论坛 2014（ABAF2014）","香港投资天使脉络有限公司",HK$ 696,400
GSP/011/13,"科技主题之旅 @ 创新科技嘉年华 2013","香港中文大学",HK$ 205,033
GSP/012/13,"新一代创新科技人才培育及推广计划2013-2014","香港新一代文化协会有限公司",HK$ 564,000
GSP/028/13,"青年企业家发展局 (E挑战杯 - 创业计划挑战赛2014)","青年企业家发展局",HK$ 700,000
GSP/031/13,"透过英国牛津大学专责技术转移的商业机构，以其经验及网络, 协助本地大学将具潜力的创新科技基金资助项目科研成果商品化","香港科技园公司",HK$ 1,834,720
GSP/019/14,"亚太创新峰会2014 - 国际知识转移论坛暨香港科技巡礼","香港科技园公司",HK$ 2,667,810
GSP/025/14,"青年企业家发展局 (E挑战杯 - 创业计划挑战赛 2015)","青年企业家发展局",HK$ 700,000
GSP/027/14,"创新科技学生会 2015","香港中文大学",HK$ 580,900
